题目编号,眼科药,全身药,系统评级,系统证据摘要,专家评分(1-5),专家认为正确评级,专家意见
1,Timolol(噻吗洛尔),Atenolol(阿替洛尔),high,"噻吗洛尔滴眼液经鼻泪管吸收，全身生物利用度60-80%（FDA Timoptic说明书）。与口服β阻滞剂联用可致叠加性心动过缓和低血压。",,,
2,Brimonidine(溴莫尼定),Fentanyl(芬太尼),high,"溴莫尼定（α2激动剂）可透过血脑屏障引起CNS抑制。FDA Alphagan P说明书警告儿童CNS抑制风险。与阿片类药物联用可致叠加性镇静和呼吸抑制（BNF交",,,
3,Atropine(阿托品),Amitriptyline(阿米替林),high,"阿托品滴眼液全身吸收30-50%。阿米替林具有强抗胆碱能活性。联用可致叠加性抗胆碱能毒性：心动过速、尿潴留、谵妄、高热（Stockley's Drug Inte",,,
4,Dorzolamide(多佐胺),Hydrochlorothiazide(氢氯噻嗪),medium,"多佐胺在红细胞中蓄积（t½约4个月），全身性抑制碳酸酐酶。氢氯噻嗪致低钾血症和代谢性碱中毒。联用致复杂酸碱失衡（FDA Trusopt说明书）。",,,
5,Ketorolac(酮咯酸),Warfarin(华法林),medium,"酮咯酸滴眼液血浆浓度可达50-90 ng/mL。NSAID抑制血小板COX-1并损伤胃黏膜。与华法林联用增加出血风险（FDA Acular说明书；Stockle",,,
6,Betaxolol(倍他洛尔),Metoprolol(美托洛尔),medium,"倍他洛尔（β1选择性）滴眼液全身生物利用度40-60%。与口服美托洛尔联用致叠加性β1阻滞（心动过缓、低血压）。风险低于非选择性β阻滞剂（FDA Betopti",,,
7,Latanoprost(拉坦前列素),Atenolol(阿替洛尔),low,"拉坦前列素全身生物利用度<3%，血浆浓度<0.2 ng/mL，t½仅17分钟。与阿替洛尔无已知药理重叠。FDA Xalatan说明书未列出全身性相互作用。",,,
8,Latanoprost(拉坦前列素),Metoprolol(美托洛尔),low,"拉坦前列素全身暴露极低（<3%生物利用度），快速水解为无活性代谢物。与美托洛尔无共享代谢通路或药理靶点。无文献报道交互。",,,
9,Latanoprost(拉坦前列素),Propranolol(普萘洛尔),low,"拉坦前列素为局部作用的前列腺素类似物，全身吸收可忽略。普萘洛尔为非选择性β阻滞剂。两者无药理重叠。所有主要交互数据库（Stockley's、BNF、Drugs.",,,
10,Timolol(噻吗洛尔),Metoprolol(美托洛尔),high,"噻吗洛尔（非选择性β阻滞剂）滴眼液全身吸收60-80%，美托洛尔为β1选择性口服制剂。联用致叠加性β阻滞，噻吗洛尔的非选择性增加支气管痉挛风险（Khan 202",,,
11,Brimonidine(溴莫尼定),Morphine(吗啡),high,"溴莫尼定致中枢交感神经抑制和镇静，吗啡致CNS和呼吸抑制。两者均为CNS抑制剂，联用可致深度镇静和呼吸抑制。FDA Alphagan P标签警告CNS抑制风险。",,,
12,Atropine(阿托品),Diphenhydramine(苯海拉明),medium,"阿托品（抗胆碱能）眼用制剂全身吸收30-50%。苯海拉明为第一代H1抗组胺药，具强抗胆碱能活性。联用致叠加性抗胆碱能效应：意识模糊、心动过速、尿潴留（Stock",,,
